	cluster
GSM590576	GSM590576	2
GSM590578	GSM590578	1
GSM590579	GSM590579	2
GSM590580	GSM590580	2
GSM590581	GSM590581	2
GSM590582	GSM590582	2
GSM590584	GSM590584	2
GSM590585	GSM590585	1
GSM590586	GSM590586	1
GSM590587	GSM590587	1
GSM590588	GSM590588	1
GSM590589	GSM590589	1
GSM590590	GSM590590	1
GSM590591	GSM590591	2
GSM590592	GSM590592	1
GSM590593	GSM590593	1
GSM590594	GSM590594	1
GSM590595	GSM590595	1
GSM590596	GSM590596	2
GSM590598	GSM590598	2
GSM590599	GSM590599	1
GSM590600	GSM590600	1
GSM590601	GSM590601	2
GSM590602	GSM590602	1
GSM590603	GSM590603	1
GSM590604	GSM590604	1
GSM590605	GSM590605	1
GSM590606	GSM590606	1
GSM590607	GSM590607	1
GSM590608	GSM590608	1
GSM590609	GSM590609	1
GSM590610	GSM590610	1
GSM590612	GSM590612	1
GSM590613	GSM590613	1
GSM590614	GSM590614	1
GSM590615	GSM590615	1
GSM590616	GSM590616	1
GSM590618	GSM590618	1
GSM590619	GSM590619	1
GSM590620	GSM590620	1
GSM590621	GSM590621	1
GSM590622	GSM590622	1
GSM590623	GSM590623	1
GSM590624	GSM590624	1
GSM590625	GSM590625	1
GSM590626	GSM590626	1
GSM590627	GSM590627	1
GSM590628	GSM590628	1
GSM590629	GSM590629	1
GSM590630	GSM590630	1
GSM590632	GSM590632	1
GSM590633	GSM590633	1
GSM590634	GSM590634	1
GSM590635	GSM590635	1
GSM590637	GSM590637	1
GSM590638	GSM590638	1
GSM590639	GSM590639	1
GSM590640	GSM590640	1
GSM590641	GSM590641	1
GSM590642	GSM590642	1
GSM590643	GSM590643	1
GSM590644	GSM590644	1
GSM590645	GSM590645	1
GSM590646	GSM590646	1
GSM590648	GSM590648	1
GSM590649	GSM590649	1
GSM590650	GSM590650	1
GSM590651	GSM590651	1
GSM590652	GSM590652	1
GSM590653	GSM590653	1
GSM590654	GSM590654	1
GSM590655	GSM590655	1
GSM590656	GSM590656	1
GSM590657	GSM590657	1
GSM590658	GSM590658	1
GSM590659	GSM590659	1
GSM590660	GSM590660	1
GSM590661	GSM590661	1
GSM590663	GSM590663	1
GSM590664	GSM590664	1
GSM590665	GSM590665	1
GSM590666	GSM590666	1
GSM590668	GSM590668	1
GSM590669	GSM590669	1
GSM590670	GSM590670	1
GSM590671	GSM590671	1
GSM590672	GSM590672	1
GSM590673	GSM590673	1
GSM590674	GSM590674	1
GSM590675	GSM590675	1
GSM590676	GSM590676	1
GSM590677	GSM590677	1
GSM590678	GSM590678	1
GSM590679	GSM590679	1
GSM590680	GSM590680	1
GSM590681	GSM590681	1
GSM590682	GSM590682	1
GSM590683	GSM590683	1
GSM590684	GSM590684	1
GSM590685	GSM590685	1
GSM590686	GSM590686	2
GSM590688	GSM590688	1
GSM590689	GSM590689	1
GSM590690	GSM590690	1
GSM590691	GSM590691	1
GSM590692	GSM590692	1
GSM590693	GSM590693	1
GSM590694	GSM590694	1
GSM590695	GSM590695	1
GSM590696	GSM590696	1
GSM590697	GSM590697	1
GSM590698	GSM590698	1
GSM590699	GSM590699	1
GSM590701	GSM590701	1
GSM590702	GSM590702	1
GSM590703	GSM590703	1
GSM590704	GSM590704	1
GSM590705	GSM590705	1
GSM590706	GSM590706	1
GSM590707	GSM590707	1
GSM590708	GSM590708	1
GSM590709	GSM590709	1
GSM590710	GSM590710	1
GSM590711	GSM590711	1
GSM590712	GSM590712	1
GSM590713	GSM590713	1
GSM590714	GSM590714	1
GSM590716	GSM590716	1
GSM590717	GSM590717	1
GSM590718	GSM590718	1
GSM590719	GSM590719	1
GSM590720	GSM590720	1
GSM590721	GSM590721	1
GSM590722	GSM590722	1
GSM590723	GSM590723	1
GSM590724	GSM590724	1
GSM590725	GSM590725	1
GSM590726	GSM590726	1
GSM590727	GSM590727	1
GSM590728	GSM590728	1
GSM623741	GSM623741	1
GSM623742	GSM623742	1
GSM852011	GSM852011	1
GSM852012	GSM852012	1
GSM852013	GSM852013	2
GSM852014	GSM852014	2
GSM852015	GSM852015	2
GSM852016	GSM852016	2
GSM852017	GSM852017	2
GSM852018	GSM852018	2
GSM852019	GSM852019	2
GSM852020	GSM852020	2
GSM852021	GSM852021	2
GSM852022	GSM852022	2
GSM852023	GSM852023	2
GSM852024	GSM852024	2
GSM852025	GSM852025	2
GSM852026	GSM852026	2
GSM852027	GSM852027	1
GSM852028	GSM852028	2
GSM852029	GSM852029	2
GSM852030	GSM852030	2
GSM852031	GSM852031	2
GSM852032	GSM852032	2
GSM852033	GSM852033	2
GSM852034	GSM852034	2
GSM852035	GSM852035	1
GSM852036	GSM852036	2
GSM852037	GSM852037	2
GSM852038	GSM852038	2
GSM852039	GSM852039	2
GSM852040	GSM852040	2
GSM852041	GSM852041	1
GSM852042	GSM852042	2
GSM852043	GSM852043	1
GSM852044	GSM852044	2
GSM852045	GSM852045	2
GSM852046	GSM852046	2
GSM852047	GSM852047	2
GSM852048	GSM852048	2
GSM852049	GSM852049	2
GSM852050	GSM852050	2
GSM852051	GSM852051	2
GSM852052	GSM852052	2
GSM852053	GSM852053	2
GSM852054	GSM852054	2
GSM852055	GSM852055	2
GSM852056	GSM852056	1
GSM852057	GSM852057	2
GSM852058	GSM852058	2
GSM852059	GSM852059	2
GSM852060	GSM852060	1
GSM852061	GSM852061	1
GSM852062	GSM852062	2
GSM852063	GSM852063	2
GSM852064	GSM852064	2
GSM852065	GSM852065	2
GSM852066	GSM852066	1
GSM852067	GSM852067	2
GSM852068	GSM852068	2
GSM852069	GSM852069	1
GSM852070	GSM852070	1
GSM852071	GSM852071	2
GSM852072	GSM852072	2
GSM852073	GSM852073	1
GSM852074	GSM852074	2
GSM852075	GSM852075	2
GSM852076	GSM852076	1
GSM852077	GSM852077	1
GSM852078	GSM852078	2
GSM852079	GSM852079	1
GSM852080	GSM852080	2
GSM852081	GSM852081	2
GSM852082	GSM852082	1
GSM852083	GSM852083	2
GSM852084	GSM852084	2
GSM852085	GSM852085	2
GSM852086	GSM852086	2
GSM852087	GSM852087	2
GSM852088	GSM852088	2
GSM852089	GSM852089	1
GSM852090	GSM852090	2
GSM852091	GSM852091	1
GSM852092	GSM852092	1
GSM852093	GSM852093	1
GSM852094	GSM852094	1
GSM852095	GSM852095	2
GSM852096	GSM852096	1
GSM852097	GSM852097	2
GSM852098	GSM852098	2
GSM852099	GSM852099	1
GSM852100	GSM852100	2
GSM852101	GSM852101	1
GSM852102	GSM852102	2
GSM852103	GSM852103	2
GSM852104	GSM852104	2
GSM852105	GSM852105	2
GSM852106	GSM852106	1
GSM852107	GSM852107	2
GSM852108	GSM852108	1
GSM852109	GSM852109	1
GSM852110	GSM852110	2
GSM852111	GSM852111	2
GSM852112	GSM852112	2
GSM852113	GSM852113	2
GSM852114	GSM852114	1
GSM852115	GSM852115	2
GSM852116	GSM852116	2
GSM852117	GSM852117	2
GSM852118	GSM852118	2
GSM852119	GSM852119	2
GSM852120	GSM852120	2
GSM852121	GSM852121	1
GSM852122	GSM852122	2
GSM852123	GSM852123	2
GSM852124	GSM852124	2
GSM852125	GSM852125	2
GSM852126	GSM852126	2
GSM852127	GSM852127	2
GSM855583	GSM855583	1
GSM855584	GSM855584	1
GSM855585	GSM855585	1
GSM855586	GSM855586	1
GSM855587	GSM855587	1
GSM855588	GSM855588	2
GSM855589	GSM855589	1
GSM855590	GSM855590	1
GSM855591	GSM855591	2
GSM855592	GSM855592	1
GSM855593	GSM855593	2
GSM855594	GSM855594	1
GSM855595	GSM855595	2
GSM855596	GSM855596	2
GSM916902	GSM916902	2
GSM916903	GSM916903	2
GSM916904	GSM916904	1
GSM916905	GSM916905	1
GSM916906	GSM916906	2
GSM916907	GSM916907	1
GSM916908	GSM916908	1
GSM916909	GSM916909	1
GSM916910	GSM916910	1
GSM916911	GSM916911	1
GSM916913	GSM916913	1
GSM916914	GSM916914	2
GSM916915	GSM916915	1
GSM916916	GSM916916	1
GSM916917	GSM916917	2
GSM916918	GSM916918	1
GSM916919	GSM916919	2
GSM916920	GSM916920	2
GSM1624559	GSM1624559	2
GSM1624560	GSM1624560	1
GSM1624561	GSM1624561	2
GSM1624562	GSM1624562	2
GSM1624563	GSM1624563	2
GSM1624564	GSM1624564	2
GSM1624565	GSM1624565	2
GSM1624566	GSM1624566	2
GSM1624567	GSM1624567	2
GSM1624568	GSM1624568	2
GSM1624569	GSM1624569	1
GSM1624570	GSM1624570	2
GSM1624571	GSM1624571	2
GSM1624572	GSM1624572	1
GSM1624573	GSM1624573	2
GSM1624574	GSM1624574	1
GSM1624575	GSM1624575	1
GSM1624576	GSM1624576	2
GSM1624577	GSM1624577	2
GSM1624578	GSM1624578	1
GSM1624579	GSM1624579	2
